sim_name,n_neurons,n_edges,batch_size,seq_len,mean_rate,sem_rate,mean_step_time,sem_step_time,mean_gpu_memory,sem_gpu_memory,mode
,66652,55687209,10,4000,0.0007,0.0000,49.0115,7.8387,21.5283,0.1947,"test"
,66652,55687209,10,4000,0.0035,0.0000,38.1809,0.1263,20.9170,0.0000,"test"
,66652,55687209,10,4000,0.0037,0.0000,38.9337,0.1457,20.9482,0.1074,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.1606,0.1209,20.2061,0.0529,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.1645,0.1422,20.3557,0.0886,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.0760,0.0947,20.3623,0.0909,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.2637,0.1051,21.3857,0.0000,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.2881,0.1180,20.2998,0.0535,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.2450,0.1232,21.2607,0.0000,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.2668,0.1029,20.5146,0.1498,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.1612,0.0747,20.1162,0.0767,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.2600,0.1083,20.0693,0.0704,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.2904,0.0938,20.4521,0.0903,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.1429,0.1070,20.3936,0.0804,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.4081,0.1146,20.0967,0.0934,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.3798,0.1343,20.0310,0.0818,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.2955,0.1239,20.3486,0.0365,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.1531,0.1050,21.0420,0.0000,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.2510,0.1438,20.3936,0.0512,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.1876,0.0897,20.0303,0.0555,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.2197,0.1022,20.0146,0.0548,"test"
,66652,55687209,10,4000,0.0007,0.0000,27.9682,0.0775,20.1396,0.1172,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.0317,0.1009,20.0889,0.0287,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.2473,0.0783,20.4795,0.0383,"test"
,66652,55687209,10,4000,0.0007,0.0000,28.2004,0.1109,20.1553,0.0481,"test"
,66652,55687209,10,4000,0.0007,0.0000,44.2650,0.0887,20.6982,0.0000,"test"
,66652,55681990,10,4000,0.0006,0.0000,43.6628,0.2228,21.2549,0.0160,"test"
,66652,55681990,10,4000,0.0007,0.0000,44.5475,0.3711,21.8877,0.1644,"test"
,66652,55681990,10,4000,0.0009,0.0000,77.9805,1.6487,21.7432,0.1215,"test"
,66652,55687209,10,4000,0.0037,0.0000,61.5653,0.1490,21.4795,0.0000,"test"
,66652,55681990,10,4000,0.0037,0.0000,59.9684,0.1896,21.0928,0.0560,"test"
,66652,55681990,10,4000,0.0037,0.0000,61.8558,0.1627,21.5068,0.0902,"test"
,66652,55681990,10,4000,0.0037,0.0000,39.4169,0.6279,20.9209,0.0867,"test"
